source,source_code,source_sheet,대분류,중분류,source_item_text,source_operation_type,canonical_id
union_standard_time,1318406.0,승합-소형승합,판금/도장정비,판금(탈부착),"쿼터리어외측패널(우,승합,롱바",교환,CAN-002587
union_standard_time,1318409.0,승합-소형승합,판금/도장정비,판금(탈부착),"쿼터리어내측패널(우,승합)",교환,CAN-002583
union_standard_time,1328307.0,승합-소형승합,판금/도장정비,판금(탈부착),휠사이드패널(좌측),교환,CAN-003396
union_standard_time,1328408.0,승합-소형승합,판금/도장정비,판금(탈부착),휠사이드패널(우측),교환,CAN-003395
union_standard_time,1358301.0,승합-소형승합,판금/도장정비,판금(탈부착),"D 필러패널(외측,좌)",교환,CAN-000046
union_standard_time,1358402.0,승합-소형승합,판금/도장정비,판금(탈부착),"D 필러패널(외측,우)",교환,CAN-000045
union_standard_time,1368309.0,승합-소형승합,판금/도장정비,판금(탈부착),리어 코너패널(좌측),탈착,CAN-000729
union_standard_time,1368309.0,승합-소형승합,판금/도장정비,판금(탈부착),리어 코너패널(좌측),교환,CAN-000728
union_standard_time,1368410.0,승합-소형승합,판금/도장정비,판금(탈부착),리어 코너패널(우측),탈착,CAN-000726
union_standard_time,1368410.0,승합-소형승합,판금/도장정비,판금(탈부착),리어 코너패널(우측),교환,CAN-000725
union_standard_time,1388006.0,승합-소형승합,판금/도장정비,판금(탈부착),파티션패널(실내칸막이),교환,CAN-002875
union_standard_time,1398312.0,승합-소형승합,기능정비,엔진 부품,창틀ASSY(좌-1),탈착,CAN-002405
union_standard_time,1398312.0,승합-소형승합,기능정비,엔진 부품,창틀ASSY(좌-1),교환,CAN-002404
union_standard_time,1398313.0,승합-소형승합,기능정비,엔진 부품,창틀ASSY(좌-2),탈착,CAN-002407
union_standard_time,1398313.0,승합-소형승합,기능정비,엔진 부품,창틀ASSY(좌-2),교환,CAN-002406
union_standard_time,1398411.0,승합-소형승합,판금/도장정비,판금(탈부착),창틀ASSY(우-슬라이딩도어),탈착,CAN-002403
union_standard_time,1398411.0,승합-소형승합,판금/도장정비,판금(탈부착),창틀ASSY(우-슬라이딩도어),교환,CAN-002402
union_standard_time,1398414.0,승합-소형승합,기능정비,엔진 부품,창틀ASSY(우-1),탈착,CAN-002399
union_standard_time,1398414.0,승합-소형승합,기능정비,엔진 부품,창틀ASSY(우-1),교환,CAN-002398
union_standard_time,1398415.0,승합-소형승합,기능정비,엔진 부품,창틀ASSY(우-2),탈착,CAN-002401
union_standard_time,1398415.0,승합-소형승합,기능정비,엔진 부품,창틀ASSY(우-2),교환,CAN-002400
union_standard_time,1428004.0,승합-소형승합,판금/도장정비,판금(탈부착),운전대 바닥패널(앞),교환,CAN-002201
union_standard_time,1428008.0,승합-소형승합,판금/도장정비,판금(탈부착),운전대 앞바닥 패널 A,교환,CAN-002203
union_standard_time,1428009.0,승합-소형승합,판금/도장정비,판금(탈부착),운전대 앞바닥 패널 B,교환,CAN-002204
union_standard_time,1428022.0,승합-소형승합,판금/도장정비,판금(탈부착),센타플로어패널,교환,CAN-001290
union_standard_time,1428029.0,승합-소형승합,판금/도장정비,판금(탈부착),터널패널,교환,CAN-002701
union_standard_time,1428030.0,승합-소형승합,판금/도장정비,판금(탈부착),업라이트 플로어패널,교환,CAN-001756
union_standard_time,1428221.0,승합-소형승합,판금/도장정비,판금(탈부착),리어 플로어패널(승합),교환,CAN-000756
union_standard_time,1428224.0,승합-소형승합,판금/도장정비,판금(탈부착),리어플로어패널,교환,CAN-000755
union_standard_time,1428327.0,승합-소형승합,판금/도장정비,판금(탈부착),휠하우징패널(좌측),교환,CAN-003426
union_standard_time,1428333.0,승합-소형승합,판금/도장정비,판금(탈부착),플로어 사이드패널(좌측),교환,CAN-003224
union_standard_time,1428428.0,승합-소형승합,판금/도장정비,판금(탈부착),휠하우징패널(우측),교환,CAN-003425
union_standard_time,1428434.0,승합-소형승합,판금/도장정비,판금(탈부착),플로어 사이드패널(우측),교환,CAN-003223
union_standard_time,1438213.0,승합-소형승합,기능정비,엔진 부품,리어 언더바디 ASSY(프레임),교환,CAN-000697
union_standard_time,1438214.0,승합-소형승합,소모품 및 하체정비,하체 부품,리어엔드 크로스멤버,교환,CAN-000703
union_standard_time,1438217.0,승합-소형승합,소모품 및 하체정비,하체 부품,리어엔드 크로스멤버(외측),교환,CAN-000705
union_standard_time,1438218.0,승합-소형승합,소모품 및 하체정비,하체 부품,리어엔드 크로스멤버(내측),교환,CAN-000704
union_standard_time,1438307.0,승합-소형승합,기능정비,엔진 부품,프론트 사이드 프레임(좌측),교환,CAN-003056
union_standard_time,1438311.0,승합-소형승합,기능정비,엔진 부품,리어 사이드 프레임(좌측),교환,CAN-000579
union_standard_time,1438409.0,승합-소형승합,기능정비,엔진 부품,프론트 사이드 프레임(우측),교환,CAN-003055
union_standard_time,1438412.0,승합-소형승합,기능정비,엔진 부품,리어 사이드 프레임(우측),교환,CAN-000578
union_standard_time,1448004.0,승합-소형승합,기능정비,엔진 부품,프레임(지프),탈착,CAN-002918
union_standard_time,1448004.0,승합-소형승합,기능정비,엔진 부품,프레임(지프),교환,CAN-002917
union_standard_time,1448011.0,승합-소형승합,기능정비,엔진 부품,캐빈 컴플리트(승합),탈착,CAN-002499
union_standard_time,1448011.0,승합-소형승합,기능정비,엔진 부품,캐빈 컴플리트(승합),교환,CAN-002498
union_standard_time,1448012.0,승합-소형승합,기능정비,엔진 부품,"캐빈 컴플리트(승합,VAN)",탈착,CAN-002497
union_standard_time,1448012.0,승합-소형승합,기능정비,엔진 부품,"캐빈 컴플리트(승합,VAN)",교환,CAN-002496
union_standard_time,1469513.0,승합-소형승합,기능정비,엔진 부품,머드가드(앞좌),탈착,CAN-000829
union_standard_time,1469513.0,승합-소형승합,기능정비,엔진 부품,머드가드(앞좌),교환,CAN-000828
union_standard_time,1469614.0,승합-소형승합,기능정비,엔진 부품,머드가드(앞우),탈착,CAN-000827
union_standard_time,1469614.0,승합-소형승합,기능정비,엔진 부품,머드가드(앞우),교환,CAN-000826
union_standard_time,1469715.0,승합-소형승합,기능정비,엔진 부품,머드가드(뒤좌),탈착,CAN-000825
union_standard_time,1469715.0,승합-소형승합,기능정비,엔진 부품,머드가드(뒤좌),교환,CAN-000824
union_standard_time,1469816.0,승합-소형승합,기능정비,엔진 부품,머드가드(뒤우),탈착,CAN-000823
union_standard_time,1469816.0,승합-소형승합,기능정비,엔진 부품,머드가드(뒤우),교환,CAN-000822
